year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Basilan,PH150700000,215817,216989,432806,29285,26910,24058,21019,20712,19805,16752,12112,10042,9107,7740,6321,4801,3052,2014,1213,874,30949,28351,25280,22110,21458,20174,16488,10954,8896,8358,7220,6103,4589,2841,1733,889,596,60234,55261,49338,43129,42170,39979,33240,23066,18938,17465,14960,12424,9390,5893,3747,2102,1470
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Lanao del Sur,PH153600000,641491,618876,1260367,83805,77433,69685,62893,62739,60555,51138,36650,30788,29091,24653,19537,14353,8383,5096,2851,1841,88541,81536,73144,60688,59763,56783,46519,30596,25382,24962,21869,18572,13710,8053,4792,2464,1502,172346,158969,142829,123581,122502,117338,97657,67246,56170,54053,46522,38109,28063,16436,9888,5315,3343
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Maguindanao,PH153800000,737178,758543,1495721,95167,88725,80592,70679,70471,68529,58454,40933,35109,35420,30435,23581,17316,10132,6125,3385,2125,100551,93540,84870,76169,76076,73432,60498,38544,31858,31790,28048,24216,17925,10226,5953,3033,1814,195718,182265,165462,146848,146547,141961,118952,79477,66967,67210,58483,47797,35241,20358,12078,6418,3939
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Sulu,PH156600000,515736,499120,1014856,65262,61787,57029,45648,46961,46805,42077,29550,25141,25020,21889,18516,13864,7947,4632,2321,1287,68953,64876,59786,44152,45319,44769,39464,25336,20991,21278,19138,17067,12902,7662,4392,1991,1044,134215,126663,116815,89800,92280,91574,81541,54886,46132,46298,41027,35583,26766,15609,9024,4312,2331
2025,PHL,Philippines,PH,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,Tawi-Tawi,PH157000000,215776,215993,431769,26946,25454,23899,21035,20241,18887,16301,12879,11298,10793,9162,7095,5227,3173,1904,941,541,28471,26811,25052,21162,20673,19502,16254,11356,9784,9843,8591,6986,5140,3205,1874,841,448,55417,52265,48951,42197,40914,38389,32555,24235,21082,20636,17753,14081,10367,6378,3778,1782,989
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Abra,PH140100000,123526,128544,252070,11100,10952,10757,11768,11314,9679,9517,8466,7484,6498,5493,5151,4592,3919,2862,1919,2055,11737,11388,11203,12458,12673,11148,10490,9041,8132,6976,5673,5098,4300,3407,2345,1340,1135,22837,22340,21960,24226,23987,20827,20007,17507,15616,13474,11166,10249,8892,7326,5207,3259,3190
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Apayao,PH148100000,62184,65414,127598,6853,6629,6304,5753,5391,5361,4771,3889,3378,3026,2683,2265,2009,1592,1010,660,610,7237,6889,6553,6112,6086,5959,5279,4173,3582,3279,2852,2390,1890,1375,871,491,396,14090,13518,12857,11865,11477,11320,10050,8062,6960,6305,5535,4655,3899,2967,1881,1151,1006
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Benguet,PH141100000,444862,447738,892600,37876,37777,36860,37311,41329,39217,40911,38003,30114,23662,19282,18096,15552,11915,7850,4738,4369,40056,39200,38045,38025,44921,41640,41132,37233,30364,24223,19311,16929,13588,10221,6574,3616,2660,77932,76977,74905,75336,86250,80857,82043,75236,60478,47885,38593,35025,29140,22136,14424,8354,7029
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Ifugao,PH142700000,105685,111204,216889,11884,11677,11029,9909,9068,8692,8802,7458,5790,4743,3800,3565,3129,2514,1612,973,1040,12570,12127,11461,10484,10312,9571,9255,8019,6535,5301,4291,3579,2879,2060,1413,724,623,24454,23804,22490,20393,19380,18263,18057,15477,12325,10044,8091,7144,6008,4574,3025,1697,1663
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Kalinga,PH143200000,110155,116034,226189,12332,12023,11299,10093,9518,9198,9064,7391,5745,4993,4399,3954,3327,2771,1811,1152,1085,13030,12465,11717,11028,11080,10396,9499,7924,6401,5397,4578,3960,3162,2265,1553,888,691,25362,24488,23016,21121,20598,19594,18563,15315,12146,10390,8977,7914,6489,5036,3364,2040,1776
2025,PHL,Philippines,PH,CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,Mountain Province,PH144400000,77182,81753,158935,8480,8334,7874,7088,6665,6217,6346,5429,4152,3453,2919,2645,2333,1991,1312,907,1037,8970,8697,8243,7488,7653,7194,6914,5899,4540,3768,3123,2827,2302,1716,1180,645,594,17450,17031,16117,14576,14318,13411,13260,11328,8692,7221,6042,5472,4635,3707,2492,1552,1631
2025,PHL,Philippines,PH,MIMAROPA REGION,PH170000000,Marinduque,PH174000000,122167,126002,248169,13876,13361,12325,10545,9953,10518,9030,6195,5462,5412,5304,5034,4310,3826,2910,2107,1999,14665,14206,13109,10969,10290,11120,9862,6977,5707,5778,5336,5040,4120,3511,2470,1618,1224,28541,27567,25434,21514,20243,21638,18892,13172,11169,11190,10640,10074,8430,7337,5380,3725,3223
2025,PHL,Philippines,PH,MIMAROPA REGION,PH170000000,Occidental Mindoro,PH175100000,259908,276860,536768,30821,30552,29130,24077,20892,20551,19131,15534,13559,12002,10912,9527,7772,6086,4115,2845,2402,32571,32929,31645,26875,21197,20555,20203,16982,15023,13516,12413,10460,8426,6211,3920,2285,1649,63392,63481,60775,50952,42089,41106,39334,32516,28582,25518,23325,19987,16198,12297,8035,5130,4051
2025,PHL,Philippines,PH,MIMAROPA REGION,PH170000000,Oriental Mindoro,PH175200000,465475,480699,946174,52172,51758,49421,41580,37192,38696,35302,27969,24310,22255,20105,17713,14748,12293,8715,5861,5385,55198,55116,52597,43081,38454,39570,37373,29428,24987,23468,21176,18318,14890,11219,7685,4501,3638,107370,106874,102018,84661,75646,78266,72675,57397,49297,45723,41281,36031,29638,23512,16400,10362,9023
2025,PHL,Philippines,PH,MIMAROPA REGION,PH170000000,Palawan,PH175300000,633986,669597,1303583,73710,71231,66587,60591,55689,54031,50008,39354,34033,28917,25447,21564,18236,14023,9350,6059,5156,77911,76460,71821,62188,55677,54248,50612,42450,37137,33119,29052,24416,20422,15090,9385,5588,4021,151621,147691,138408,122779,111366,108279,100620,81804,71170,62036,54499,45980,38658,29113,18735,11647,9177
2025,PHL,Philippines,PH,MIMAROPA REGION,PH170000000,Romblon,PH175900000,151049,157088,308137,17894,17272,15928,13209,12301,12923,11178,8222,6722,6145,6031,5887,5141,4264,3111,2263,2558,18915,18355,16935,13760,12980,13725,12533,9045,7179,6555,6487,6124,5118,3890,2512,1529,1446,36809,35627,32863,26969,25281,26648,23711,17267,13901,12700,12518,12011,10259,8154,5623,3792,4004
2025,PHL,Philippines,PH,NATIONAL CAPITAL REGION (NCR),PH130000000,National Capital Region,PH130000000,7362023,7159634,14521657,566770,609236,640927,550450,556668,561377,583868,584562,556968,486644,408741,361932,299557,238397,161033,104329,90564,599057,642628,673968,564949,590717,588794,562297,546321,517584,467146,388434,327967,257223,194202,122391,70819,45137,1165827,1251864,1314895,1115399,1147385,1150171,1146165,1130883,1074552,953790,797175,689899,556780,432599,283424,175148,135701
2025,PHL,Philippines,PH,REGION I (ILOCOS REGION),PH010000000,Ilocos Norte,PH012800000,312510,315690,628200,22477,23200,24031,26528,23975,23354,24030,23309,21679,19353,17203,15855,13400,10963,8735,6371,8047,23846,24694,25647,28616,25855,25134,24727,23520,22548,19971,17891,16099,12864,9646,6501,4005,4126,46323,47894,49678,55144,49830,48488,48757,46829,44227,39324,35094,31954,26264,20609,15236,10376,12173
